Offspring bands,species,Mid-offspr,maleband,Male BD,femband,Female BD,Mid-parent,,,
15467.7,fortis,7.14,14506,7.2,14507,7.3,7.25,,,
16169,fortis,8.91,14506,7.2,14629,9.4,8.3,,,
14911,fortis,9.18,14533,8.9,10716,9.4,9.15,,,
18030,fortis,8.8,14533,8.9,14912,8.3,8.6,,,
15849,fortis,9.9,14550,11,5627,8,9.5,,,
17488.7,fortis,7.73,14613,7,14784,9.1,8.05,,,
16184,fortis,9.25,14620,9.85,14915,9,9.43,,,
17890,fortis,8.7,14633,9.8,15244,8.8,9.3,,,
16805,fortis,9.5,14633,9.8,15930,9.8,9.8,,,
17690,fortis,9.3,14656,10.2,5887,8.4,9.3,,,
18637.5,fortis,9.05,14656,10.2,16148,9.5,9.85,,,
17045.6,fortis,10.18,14676,9.6,14546,9.4,9.5,,,
17634,fortis,8.85,14686,8.3,15229,9,8.65,,,
17468.4,fortis,9.24,14687,9.5,14812,10.15,9.83,,,
18841,fortis,9.15,14687,9.5,17797,8.5,9,,,
16524.5,fortis,9.98,14706,10.9,10679,10,10.45,,,
17380,fortis,8.77,14722,9.5,4715,8.7,9.1,,,
17360,fortis,9.8,14745,10,14741,9.1,9.55,,,
17080,fortis,8.65,14762,8.5,15339,9.6,9.05,,,
17460,fortis,10,14763,8.8,15651,11.2,10,,,
17381.5,fortis,8.81,14796,9.8,14684,8.9,9.35,,,
16414.2,fortis,8.01,14797,8.8,14612,7.95,8.38,,,
17188,fortis,7.9,14797,8.8,15914,7.8,8.3,,,
17667.9,fortis,9.41,14808,8.9,14880,8.7,8.8,,,
16911,fortis,10.18,14856,9.8,5905,10.4,10.1,,,
17166.8,fortis,9.55,14866,9.6,14705,9.4,9.5,,,
16551.3,fortis,9.08,14873,10.4,15047,9.1,9.75,,,
17583,fortis,8.4,14873,10.4,15838,9.8,10.1,,,
16559.5,fortis,9.75,14900,9.45,13837,9.7,9.58,,,
18645,fortis,8.9,14900,9.45,17648,9.4,9.43,,,
16763.7,fortis,9.07,14925,10.4,5626,8.9,9.65,,,
17462.5,fortis,9.35,14939,8.45,15337,9,8.73,,,
16581.5,fortis,8.9,14957,9.5,5685,8.55,9.03,,,
17291,fortis,8.19,15001,9.7,15284,7.3,8.5,,,
17112,fortis,8.65,15004,9.6,14909,8.3,8.95,,,
17984.5,fortis,9.19,15005,8.7,5625,9.9,9.3,,,
17568,fortis,8.9,15037,10.4,14983,7.3,8.85,,,
16809,fortis,9.28,15049,9.6,14912,8.3,8.95,,,
17992,fortis,10.58,15066,9.1,5904,10.5,9.8,,,
16893,fortis,9,15125,9.2,15838,9.8,9.5,,,
16360,fortis,9.4,15127,8.4,15659,8.9,8.65,,,
17067.8,fortis,8.91,15150,9.9,15111,8.3,9.1,,,
16936,fortis,9.93,15153,9.1,15172,9.7,9.4,,,
17667,fortis,10,15154,7.95,14915,9,8.48,,,
17643.3,fortis,9.37,15158,9.6,15934,9.1,9.35,,,
17916,fortis,7.4,15188,8.5,14913,7.4,7.95,,,
18330,fortis,9,15220,8.8,16594,9.9,9.35,,,
17120,fortis,8.8,15225,7.8,15376,9.35,8.58,,,
17706,fortis,9.18,15232,9,10102,9.1,9.05,,,
17436,fortis,8.3,15277,7.9,10100,8.45,8.18,,,
16813.5,fortis,10.08,15281,9.9,15385,9.8,9.85,,,
16890,fortis,7.9,15286,8.2,15695,7.5,7.85,,,
16996.4,fortis,9.96,15289,9.3,15025,10.4,9.85,,,
16579,fortis,10.4,15309,10.1,15920,10.1,10.1,,,
17717,fortis,9.65,15346,9.4,15396,9.3,9.35,,,
18653,fortis,8.8,15346,9.4,15944,8.3,8.85,,,
16607,fortis,8.65,15359,9.1,15402,8.4,8.75,,,
17564,fortis,9.7,15383,9.9,15788,9.35,9.63,,,
18519.3,fortis,9.23,15395,9.5,15054,9,9.25,,,
16561.8,fortis,9.43,15428,9.3,14674,9.8,9.55,,,
17249,fortis,9.93,15471,10.35,14919,10.3,10.33,,,
17063.4,fortis,8.47,15478,9.8,14507,7.3,8.55,,,
17698.5,fortis,9.55,15478,9.8,15840,9.55,9.68,,,
16948.3,fortis,9.28,15648,9.5,15246,8.8,9.15,,,
17313,fortis,8.85,15667,9.6,14890,8.4,9,,,
17095,fortis,8.9,15681,10.1,15601,9.2,9.65,,,
17692,fortis,8.75,15706,8.5,15018,8.7,8.6,,,
17702.3,fortis,8.63,15727,9.25,15288,8.35,8.8,,,
17986,fortis,9,15757,8.7,15373,9.3,9,,,
16834.3,fortis,9.43,15830,10.3,14958,9.6,9.95,,,
16981.8,fortis,8.28,15854,8.9,15779,7.9,8.4,,,
16857,fortis,9.23,15885,9.5,15263,9.2,9.35,,,
17589,fortis,10.4,15897,10.1,5904,10.5,10.3,,,
17485,fortis,9,15915,8.3,15621,9.8,9.05,,,
16803,fortis,9.8,15929,9.45,15702,10.5,9.98,,,
17491.3,fortis,9.77,15948,10.8,14692,9.15,9.98,,,
17606.7,fortis,8.97,15970,8.5,15244,8.8,8.65,,,
17306,fortis,8.37,16016,8.8,15464,8.65,8.73,,,
17551,fortis,7.7,16024,7.4,15337,9,8.2,,,
18655,fortis,7.9,16024,7.4,17560,8.3,7.85,,,
18849,fortis,9.5,16167,8.85,15018,8.7,8.78,,,
18731.5,fortis,8.2,17160,9.3,16590,7.7,8.5,,,
18763,fortis,8.8,17615,9.4,15838,9.4,9.4,,,
